Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-PA2194	2.4621551367019308	5.213091637028068	2.8205369530422164	11.723686435995036	7.833321328243175	2.219777507260892	9.295661623287677	1.4582270802247277	0.4036522998291609	0.8222259740088887	1.0542812516637876	0.3904901588670162	0.3904249580455847	host	hcnB	1.0269928293012716	0	0	1
gene-PA5386	1.8466163525264483	4.170473309622454	2.5236383264061937	4.57509714575416	2.7011452856010947	1.7758220058087135	1.676266850101056	0.4374681240674182	0.4036522998291609	0.8222259740088887	1.9767773468696015	0.5206535451560217	0.2602833053637231	host	cdhA	0.7373070889181234	0	0	1
gene-PA2147	4.9243102734038615	4.6917824733252615	6.680219099310513	4.00321000253489	1.5306489951739537	3.84761434591888	5.333576341230633	1.4582270802247277	0.941855366268042	1.0963012986785183	1.5814218774956814	0.2603267725780108	0.0	host	katE	0.7531576230169643	0	0	1
gene-PA0086	124.49271909949138	245.536616104022	172.79500070216525	233.75886979087664	169.09169487862852	93.08267013780674	111.70032737491584	35.507829403472115	10.898612095387344	22.474176622909628	9.290853530287128	2.733431112069113	2.6028330536372315	host	gene-PA0086	0.9000184814602074	0	0	1
gene-PA1818	58.322299800626986	55.51942593434893	51.21501309471393	48.32446360202832	35.11488871281423	34.03658844466702	64.4600797811588	10.64505768564051	11.571365928435943	23.296402596918515	5.205513680089951	4.1652283612481735	4.424816191183293	host	ldcA	0.6955963332259076	0	0	1
gene-PA0166	3.8471174010967673	5.213091637028068	6.234871159356478	5.004012503168612	4.321832456961752	6.215377020330498	8.228946355041549	2.0415179123146183	1.0764061328777623	1.7814896103525923	4.085339850197177	0.5206535451560217	0.5205666107274463	host	gene-PA0166	0.6200277956584137	0	0	1
gene-PA0133	8.309773586369017	15.3786203292328	12.172843692076931	13.296376079848027	5.672405099762299	9.6190358647972	8.228946355041549	1.5311384342359635	2.1528122657555246	2.603715584361481	3.096951176762376	1.4317972491790596	1.4315581795004773	host	gene-PA0133	0.7299222898880182	0	0	1
gene-PA0866	18.620048221308352	15.3786203292328	9.797654678988753	12.867460722433576	6.57278686162933	6.51134735463195	18.59132324657535	2.260251974348328	1.883710732536084	8.222259740088887	3.82176953728123	0.6508169314450271	1.3014165268186155	host	aroP2	0.7547779164790295	0	0	1
gene-PA5364	39.08671279514316	46.13586098769841	48.54292545498972	50.32606860329576	26.20110927033062	25.601433917075624	39.31607702964295	4.520503948696655	5.785682964217973	13.018577921807406	3.558199224365283	1.301633862890054	2.3425497482735085	host	gene-PA5364	0.7898586796393001	0	0	1
gene-PA3089a	9.540851154719984	11.208147019610347	13.805786138575058	17.01364251077328	9.003817618670316	7.547243524687033	13.410134800808448	2.260251974348328	1.883710732536084	2.4666779220266664	1.5814218774956814	0.5206535451560217	0.5205666107274463	host	gene-PA3089a	0.7931819506087175	0	0	1
gene-PA2107	0.3077693920877413	0.2606545818514034	1.3360438198621023	1.0008025006337224	0.9003817618670316	0.2959703343014523	1.3714910591735914	0.2916454160449455	0.4036522998291609	0.1370376623348148	0.1317851564579734	0.0	0.1301416526818615	host	gene-PA2107	0.9041013723182034	0	0	1
gene-PA2796	24.46766667097544	33.62444105883104	32.80729824328051	35.028087522180286	16.657062594540083	21.90180473830747	40.23040440242534	2.989365514460691	6.458436797266574	14.114879220485925	2.0426699250985885	1.952450794335081	2.3425497482735085	host	tal	0.7586924242284473	0	0	1
gene-PA3313	32.46967086525672	53.6948438613891	46.01928712858353	58.18951682256072	17.917597061153927	26.341359752829256	29.10608803357288	2.551897390393273	5.651132197608252	15.211180519164442	2.701595707388456	2.212777566913092	1.3014165268186155	host	gene-PA3313	0.8661410222549556	0	0	1
gene-PA1222	51.08971908656507	55.258771352497526	50.9181144680779	62.62164218251007	45.19916444572498	30.188974098748133	52.87859972591513	17.571636316707966	5.247479897779091	13.292653246477036	6.193902353524752	1.952450794335081	1.821983137546062	host	gene-PA1222	0.7391224057387819	0	0	1
gene-PA5345	192.97140883901383	240.06286988514253	203.2271099323576	277.6512080329556	142.7105092559245	99.5940174924387	204.04739202593765	41.85111720244968	14.935135093678952	34.39645324603851	14.29868947569012	2.9937578846471244	4.294674538501432	host	recG	0.8537529701244685	0	0	1
gene-EST35_0151	0.0	0.0	0.0	0.0	49.25088237412663	11.838813372058093	6.705067400404224	55.558451756562114	7.803944463363777	9.455598701102222	366.6921978443111	925.5918399011176	24.076205746144392	phage	gene-EST35_0151	2.2604074366941305	0	0	0
gene-PA1457	99.7172830364282	86.53732117466593	88.47579073753478	87.78467648415794	52.312180364474536	50.46294199839762	94.1757193965866	5.0308834267753095	6.727538330486015	18.363046752865184	2.174455081556562	2.863594498358119	1.9521247902279235	host	cheZ	0.8582456442204432	0	0	1
gene-PA2659	11.23358281120256	15.117965747381398	18.704613478069437	15.869868224334745	7.2030540949362525	13.0226947092639	19.658038514821477	0.8020248941236001	4.171073764901329	6.57780779207111	0.5271406258318938	1.301633862890054	1.5616998321823388	host	gene-PA2659	0.7626471659600538	0	0	1
gene-PA1110	10.310274634939336	12.25076534701596	13.805786138575058	18.157416797211823	10.624504790030972	7.103288023234855	15.238789546373235	1.6040497882472002	2.5564645655846854	4.796318181718518	1.713207033953655	0.5206535451560217	1.1712748741367542	host	gene-PA1110	0.7591030556941802	0	0	1
gene-PA0887.1	2.769924528789672	2.606545818514034	3.2658848929962505	1.0008025006337224	2.0708780522941725	2.663733008713071	10.514764786997532	0.1458227080224727	0.941855366268042	3.974092207709629	1.844992190411628	0.3904901588670162	1.1712748741367542	host	gene-PA0887.1	0.9911060739290029	0	0	1
gene-PA0751	45.395985332941855	50.30633429732086	40.08131459586308	48.32446360202832	47.72023337895267	23.677626744116186	37.48742228407816	14.946827572303455	4.57472606473049	8.633372727093333	5.798546884150832	1.0413070903120434	1.6918414848642005	host	gene-PA0751	0.7555069496902423	0	0	1
gene-PA0501	33.54686373756381	45.6145518239956	32.6588489299625	65.48107789860642	21.15897140387524	24.269567412719088	49.678453921176754	3.4268336385281093	3.767421465072168	7.674109090749629	3.096951176762376	1.822287408046076	2.082266442909785	host	bioF	0.9091153323534885	0	0	1
