Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-AUO97_RS17180	0.4575222607455966	0.0	0.0	0.0	0.0	0.0	host	gene-AUO97_RS17180	2.2360679774997894	0	0	1
gene-AUO97_RS08455	0.0	0.0	0.0	0.0	0.0	0.0	host	gene-AUO97_RS08455	0.0	0	0	1
gene-AUO97_RS07760	461.7924685125555	328.5615242759717	89.27928851358571	74.42012472179542	58.24322238291416	50.110249375635846	host	glmS	0.9003653074141711	0	0	1
gene-M172_gp35	543.3839383455203	651.8211539978936	3973.8143165268366	4956.696987853369	17272.07138954972	17638.80778022382	phage	gene-M172_gp35	0.9614424204434147	0	0	0
gene-AUO97_RS10170	9.150445214911931	9.356284507146798	3.5439106890888987	2.32233013316241	0.7663581892488704	0.2730803780688602	host	gene-AUO97_RS10170	0.8741915057497338	0	0	1
gene-AUO97_RS10920	461.944975932804	352.7319259194343	86.96211613995067	70.09214583726546	50.68912023174672	40.8255165212946	host	gene-AUO97_RS10920	0.9389418551196573	0	0	1
gene-AUO97_RS03240	15.403249445101752	9.824098732504138	3.5439106890888987	3.483495199743615	1.2042771545339392	1.9115626464820212	host	gene-AUO97_RS03240	0.8623443437777059	0	0	1
gene-AUO97_RS13540	25.46873918150488	19.180383239650936	11.585861868175243	12.139452968803509	7.006703444561102	9.148192665306818	host	gene-AUO97_RS13540	0.4489788594868691	0	0	1
gene-AUO97_RS04845	0.762537101242661	1.559380751191133	0.0	0.6333627635897482	0.547398706606336	0.2730803780688602	host	gene-AUO97_RS04845	0.7710027163982552	0	0	1
gene-AUO97_RS07725	0.9150445214911932	1.091566525833793	0.6815212863632497	0.5278023029914568	0.3284392239638016	0.1365401890344301	host	gene-AUO97_RS07725	0.5324478828112821	0	0	1
gene-AUO97_RS06740	3.3551632454677085	4.366266103335172	0.8178255436358997	0.844483684786331	0.7663581892488704	0.1365401890344301	host	gene-AUO97_RS06740	0.912156608741664	0	0	1
gene-AUO97_RS02250	392.5540997197219	312.9677167640604	126.6266550062918	119.7055623184624	65.68784479276033	60.487303742252536	host	htpX	0.7065521027905544	0	0	1
gene-AUO97_RS09775	7.320356171929546	5.145956478930739	1.3630425727264994	1.3722859877777878	0.7663581892488704	0.8192411342065806	host	gene-AUO97_RS09775	0.9006488784874941	0	0	1
gene-AUO97_RS10955	146.71213827908798	109.93634295897488	28.07867699816589	24.173345477008723	14.779765078371073	12.83477776923643	host	ndhC	0.9347951600352798	0	0	1
gene-AUO97_RS18940	10.52301199714872	6.237523004764532	2.317172373635049	3.166813817948741	0.8758379305701377	0.9557813232410108	host	pgaA	0.8518745037321453	0	0	1
gene-AUO97_RS16235	12.810623300876705	9.356284507146798	4.770649004542748	3.6946161209401978	1.642196119819008	2.321183213585312	host	gene-AUO97_RS16235	0.6961500685862758	0	0	1
gene-AUO97_RS00385	27.4513356447358	20.89570206596118	7.905646921813696	6.228067175299191	4.379189652850688	2.457723402619742	host	gene-AUO97_RS00385	0.8026196306680565	0	0	1
gene-AUO97_RS02225	18.453397850072395	16.685374037745124	7.087821378177797	7.494792702478687	2.518034050389146	5.598147750411634	host	gene-AUO97_RS02225	0.6070977150419687	0	0	1
gene-AUO97_RS09840	110.72038710043438	83.89468441408296	34.62128134725309	26.917917452564296	16.09352197422628	15.565581549925032	host	gene-AUO97_RS09840	0.7571991271709883	0	0	1
gene-AUO97_RS11310	10.980534257894318	11.38347948369527	2.453476630907699	3.589055660341906	1.8611556024615423	1.228861701309871	host	gene-AUO97_RS11310	0.81079418756094	0	0	1
gene-AUO97_RS14000	29.586439528215248	22.455082817152316	8.859776722722247	2.8501324361538667	4.926588359457025	3.0038841587574625	host	tssM	0.8665862411821056	0	0	1
gene-AUO97_RS11165	20.435994313303315	14.65817906119665	4.498040489997448	5.489143951111151	1.4232366371764738	1.228861701309871	host	ccsA	0.8986069544524257	0	0	1
gene-AUO97_RS03495	29.433932107966715	20.739763990842068	6.269995834541898	4.961341648119694	2.8464732743529475	3.1404243477918925	host	gene-AUO97_RS03495	0.9060825080066266	0	0	1
gene-AUO97_RS11205	40.7194812063581	30.71980079846532	10.495427809994046	8.233715926666726	5.802426290027162	4.778906616205053	host	ligA	0.8225011389785911	0	0	1
gene-AUO97_RS06915	0.0	0.0	0.0	0.0	0.0	0.0	host	gene-AUO97_RS06915	0.0	0	0	1
gene-AUO97_RS11470	77.32126206600583	62.06335389740709	15.538685329082094	14.250662180769334	8.101500857773773	7.373170207859226	host	cntA	0.9106527476782132	0	0	1
gene-AUO97_RS15420	3195.7929913079925	2608.220244442289	976.8926118730822	893.3581780433398	562.8353501326347	507.5198826409767	host	rpsA	0.719513756600437	0	0	1
gene-AUO97_RS17205	1.8300890429823864	3.274699577501379	0.2726085145452999	0.9500441453846222	0.0	0.4096205671032903	host	gene-AUO97_RS17205	1.0058152979413904	0	0	1
gene-AUO97_RS08780	11.13304167814285	8.732532206670344	2.317172373635049	3.589055660341906	0.9853176718914048	1.365401890344301	host	gspN	0.8238948200020436	0	0	1
gene-AUO97_RS06405	125.81862170503906	94.03065929682532	26.579330168166734	25.123389622393344	11.38589309741179	10.786674933719976	host	gene-AUO97_RS06405	0.9088314807855165	0	0	1
gene-AUO97_RS03680	0.1525074202485322	0.1559380751191132	0.0	0.0	0.0	0.0	host	cadR	1.4143447682567343	0	0	1
gene-AUO97_RS04175	30.043961788960843	25.57384431953458	5.043257519088048	4.64466026632482	3.9412706875656194	3.4135047258607525	host	gene-AUO97_RS04175	0.9237975424112157	0	0	1
gene-AUO97_RS07195	2.135103883479451	1.7153188263102463	0.9541298009085496	1.9000882907692445	0.6568784479276033	0.6827009451721505	host	gene-AUO97_RS07195	0.4448604605398329	0	0	1
gene-AUO97_RS18605	8.082893273172207	3.898451877977832	1.7719553445444494	1.3722859877777878	0.7663581892488704	0.5461607561377204	host	gene-AUO97_RS18605	0.9588428715003959	0	0	1
gene-AUO97_RS10320	400.331978152397	307.9776983602488	103.45493126994133	98.69903065940242	57.80530341762909	53.79683447956546	host	gene-AUO97_RS10320	0.7864845987808916	0	0	1
gene-AUO97_RS13185	0.0	0.0	0.0	0.0	0.0	0.0	host	gene-AUO97_RS13185	0.0	0	0	1
gene-AUO97_RS16925	0.1525074202485322	0.0	0.0	0.0	0.0	0.0	host	gene-AUO97_RS16925	2.2360679774997902	0	0	1
gene-AUO97_RS06695	114.07555034590207	95.90191619825468	28.76019828452914	23.01218041042752	13.575487923837134	12.42515720213314	host	gene-AUO97_RS06695	0.8557434707924206	0	0	1
gene-AUO97_RS02835	6.25280423018982	5.925646854526305	2.8623894027256487	1.794527830170953	0.547398706606336	0.0	host	gene-AUO97_RS02835	0.8403535266480335	0	0	1
gene-AUO97_RS19130	0.0	0.0	0.0	0.0	0.0	0.0	host	gene-AUO97_RS19130	0.0	0	0	1
gene-AUO97_RS00465	6.100296809941288	3.898451877977832	1.0904340581811995	1.161165066581205	0.3284392239638016	0.5461607561377204	host	gene-AUO97_RS00465	0.9633423129029085	0	0	1
gene-AUO97_RS11865	74.57612850153225	61.59553967204975	17.446944930899193	15.728508629145413	9.743696977592782	9.284732854341248	host	gene-AUO97_RS11865	0.8401243381774057	0	0	1
gene-AUO97_RS05340	0.0	0.0	0.0	0.0	0.0	0.0	host	gene-AUO97_RS05340	0.0	0	0	1
gene-AUO97_RS09620	130.08882947199797	100.26818230158985	32.16780471634539	25.75675238598309	13.137568958552064	16.384822684131613	host	gene-AUO97_RS09620	0.8542114640519252	0	0	1
gene-AUO97_RS00890	0.0	0.0	0.0	0.0	0.0	0.0	host	gene-AUO97_RS00890	0.0	0	0	1
gene-AUO97_RS08390	0.0	0.0	0.0	0.0	0.0	0.0	host	gene-AUO97_RS08390	0.0	0	0	1
gene-AUO97_RS06370	7.62537101242661	7.017213380360098	1.4993468299991497	2.32233013316241	1.7516758611402754	1.6384822684131612	host	gene-AUO97_RS06370	0.7192425124303008	0	0	1
gene-AUO97_RS11850	52.92007482624067	44.13047525870906	15.674989586354744	14.461783101965915	7.335142668524903	4.642366427170623	host	betB	0.797018690344403	0	0	1
gene-AUO97_RS15960	34.61918439641681	22.611020892271423	6.951517120905147	8.339276387265018	2.955953015674215	3.4135047258607525	host	gene-AUO97_RS15960	0.8840693257897052	0	0	1
gene-AUO97_RS18045	8.692922954166335	7.017213380360098	5.043257519088048	4.64466026632482	3.284392239638016	2.457723402619742	host	gene-AUO97_RS18045	0.40891755716399886	0	0	1
gene-AUO97_RS18700	12.810623300876705	9.200346432027684	3.5439106890888987	4.116857963333363	1.532716378497741	1.9115626464820212	host	tsaE	0.7451634611780426	0	0	1
gene-AUO97_RS03150	19.36844237156359	17.15318826310246	3.680214946361549	2.639011514957284	2.299074567746612	1.6384822684131612	host	gene-AUO97_RS03150	0.9557537619153933	0	0	1
