Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-VC_RS03415	24.336435537829814	26.602556667906494	23.510636986303336	27.891934900223944	28.359714620243164	23.91562423915049	31.56390744340065	37.214678653364295	39.08390848666728	host	gene-VC_RS03415	0.18451244917843193	0	0	1
gene-VC_RS00480	86.70981847182327	85.48504490235807	87.73481607083927	68.81233939199986	84.59297732438247	73.90467340068308	57.23588549736652	84.71977981315129	75.64627449032378	host	gene-VC_RS00480	0.12425498646136866	0	0	1
gene-VC_RS07910	116.4543507958375	117.60276575751348	111.81888322754024	117.43972589567976	163.18990070048494	124.79280618022888	139.44232888329	164.22386602715684	147.51023525613135	host	gene-VC_RS07910	0.14556003147678986	0	0	1
gene-VC_RS03250	205.68794776788016	178.1073611058618	223.6377664550805	223.31897877350357	224.60893979232583	215.42043487595703	133.41011546077343	193.26259255213049	180.03813328697058	host	rimP	0.1439990371505432	0	0	1
gene-VC_RS09975	80.58064211414762	78.67219502399178	87.87817361343869	65.32584752947187	87.50997654246463	76.78174097832525	57.656737596611855	69.21366370758284	63.03856207526981	host	sixA	0.13748058332477983	0	0	1
gene-VC_RS12430	400.5597019633915	301.5497124734036	355.2399905613394	1457.5370981084131	263.82637372431924	257.31773147537103	101.98649205045456	152.9466906776525	129.98551499920634	host	rpmD	1.033229520454771	0	0	1
gene-VC_RS13170	185.49771976612504	172.26777549583355	179.48364333446204	147.7171552281597	155.08712509470118	174.06258844735092	99.60166348806428	139.1321508745097	117.3778025841524	host	gspC	0.18202702205496887	0	0	1
gene-VC_RS14405	296.3637038829053	188.81326805758027	204.8579283745577	204.4185228871676	152.81834792508172	171.36533759331138	115.87461132555084	119.67902339661472	131.1202091165612	host	prtV	0.303086964649162	0	0	1
gene-VC_RS02085	70.30525822039725	66.34418095837657	77.84314563147994	59.27036166297588	64.82220484627008	60.238602406882805	58.35815776202076	81.4775919001688	69.46849540694733	host	gene-VC_RS02085	0.11320409654850629	0	0	1
gene-VC_RS09225	82.38334104287576	69.42618447478037	81.14036911126638	109.36574474035176	90.10286473631542	71.20742254664356	50.7828199756046	80.77276844082478	68.20772416544193	host	gene-VC_RS09225	0.1965242025763119	0	0	1
