Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol
gene-PA2589	7.450158440036159	5.835748809619469	2.3241288148395625	4.171703999245756	0.4461242509573826	0.7848659017363588	0.0	0.0	host	gene-PA2589
gene-PA1795	856.1473740674885	478.53140238879644	502.5928562090554	501.8559911092645	84.7636076819027	73.77739476321773	23.425102642250824	17.7570038140175	host	cysS
gene-PA2468	487.3645312856987	212.78037967381755	14.525805092747266	12.515111997737268	4.461242509573826	2.747030656077256	1.0075312964408958	1.2461055308082458	host	foxI
gene-PA4119	8.691851513375518	6.7335563187916945	9.877547463068142	8.760578398416088	4.015118258616443	1.5697318034727177	1.5112969446613436	0.9345791481061844	host	aph
gene-PA2246	18.625396100090395	9.426978846308373	5.229289833389016	8.760578398416088	0.4461242509573826	0.7848659017363588	0.0	0.6230527654041229	host	bkdR
gene-PA1033	13.658623806732956	8.97807509172226	7.553418648228578	4.588874399170332	1.3383727528721479	1.5697318034727177	0.7556484723306718	0.31152638270206146	host	gene-PA1033
gene-PA2214	1.8625396100090397	0.897807509172226	1.743096611129672	0.4171703999245756	0.0	0.7848659017363588	0.0	0.0	host	gene-PA2214
gene-PA3210	15.521163416741997	8.080267582550034	8.13445085193847	10.429259998114391	3.1228697567016783	1.1772988526045383	0.5037656482204479	2.4922110616164916	host	trkH
gene-PA4724	40.97587142019887	18.853957692616746	104.00476446407043	16.686815996983025	3.568994007659061	1.962164754340897	0.5037656482204479	0.6230527654041229	host	gene-PA4724
gene-PA5368	28.558940686805276	16.60943891968618	24.403352555815406	25.44739439539911	10.2608577720198	10.595689673440845	6.045187778645374	2.803737444318553	host	pstC
gene-PA1496	10.554391123384558	10.773690110066712	5.229289833389016	5.4232151990194835	0.0	0.3924329508681794	0.7556484723306718	1.2461055308082458	host	gene-PA1496
gene-PA3978	32.904866443493034	23.791898993063988	20.917159333556064	24.61305359554996	6.691863764360739	5.494061312154512	2.0150625928817916	3.1152638270206143	host	gene-PA3978
gene-PA3440	34.76740605350207	20.6495727109612	19.17406272242639	16.686815996983025	3.568994007659061	2.3545977052090765	0.7556484723306718	0.9345791481061844	host	gene-PA3440
gene-PA2568	68.29311903366478	29.178744048097343	24.984384759525298	30.870609594418596	3.568994007659061	5.8864942630226915	1.0075312964408958	1.5576319135103072	host	gene-PA2568
gene-PA3091	151.48655494740188	74.51802326129476	39.51018985227257	34.625143193739774	7.137988015318122	6.278927213890871	2.7707110652124634	2.4922110616164916	host	gene-PA3091
gene-PA0504	24.833861466787194	15.711631410513954	23.241288148395626	27.950416794946566	5.799615262445974	4.316762459549974	0.7556484723306718	0.31152638270206146	host	bioD
gene-PA4546	40.35502488352919	23.342995238477876	25.56541696323519	27.950416794946566	6.245739513403357	3.531896557813615	1.5112969446613436	1.8691582962123687	host	pilS
gene-PA0925	14.900316880072317	6.284652564205582	15.106837296457156	11.680771197888117	1.3383727528721479	3.1394636069454354	2.7707110652124634	1.2461055308082458	host	gene-PA0925
gene-PA5178	632.0217743297341	426.0096631022212	298.6505527068838	254.05677355406655	58.44227687541712	60.434674433699634	15.616735094833883	18.380056579421627	host	gene-PA5178
gene-PA5205	65.18888635031638	36.361204121475154	9.877547463068142	14.600963997360147	0.4461242509573826	4.316762459549974	2.0150625928817916	0.6230527654041229	host	gene-PA5205
gene-PA1439	21.729628783438795	13.916016392169503	12.782708481617595	10.846430398038967	3.568994007659061	2.3545977052090765	0.5037656482204479	1.8691582962123687	host	gene-PA1439
gene-PA1503	4.345925756687759	1.795615018344452	2.3241288148395625	1.251511199773727	0.4461242509573826	0.0	0.0	0.0	host	gene-PA1503
gene-PA0730	46.56349025022599	30.07655155726957	20.917159333556064	25.030223995474536	4.015118258616443	2.3545977052090765	2.2669454169920153	0.6230527654041229	host	gene-PA0730
gene-PA1695	27.938094150135594	5.835748809619469	8.13445085193847	3.337363199396605	2.6767455057442957	2.3545977052090765	0.25188282411022395	1.2461055308082458	host	pscP
gene-PA4506	22.971321856778154	15.262727655927842	8.13445085193847	7.926237598566937	0.8922485019147652	2.3545977052090765	0.25188282411022395	0.6230527654041229	host	gene-PA4506
gene-PA3686	514.0609323624949	557.9873669505384	231.2508170765365	295.77381354652414	47.73529485243994	56.51034492501784	20.150625928817913	21.18379402374018	host	adk
gene-PA0550	16.142009953411677	16.160535165100068	18.01199831500661	27.950416794946566	3.1228697567016783	2.747030656077256	2.518828241102239	0.6230527654041229	host	gene-PA0550
gene-PA4637	13.658623806732956	57.45968058702246	32.53780340775388	38.37967679306096	12.045354775849331	17.267049838199895	7.05271907508627	2.803737444318553	host	gene-PA4637
gene-PA2937	2.4833861466787197	3.591230036688904	0.5810322037098906	0.8343407998491512	0.4461242509573826	0.7848659017363588	0.0	0.0	host	gene-PA2937
gene-PA5043	835.6594383573891	561.1296932326412	406.72254259692346	364.18975913415454	33.01319457084631	32.17950197119071	8.060250371527166	6.230527654041229	host	pilN
gene-PA1816	95.6103666471307	109.08361236442545	78.43934750083524	95.9491919826524	12.491479026806713	18.836781641672612	5.541422130424927	5.919001271339168	host	dnaQ
gene-PPLUZ19_gp23	1.2416930733393599	0.0	0.5810322037098906	2.920192799472029	7407.000938645423	11266.750019425432	35152.26316717463	34447.65282004585	phage	gp23
gene-PA4733	125.41100040727534	84.84280961677536	59.26528477840885	50.06044799094907	6.691863764360739	3.531896557813615	2.7707110652124634	1.5576319135103072	host	acsB
gene-PA0027	154.5907876307503	118.06168745614771	53.45496274130994	81.34822798529224	8.030236517232886	4.316762459549974	3.274476713432911	2.4922110616164916	host	gene-PA0027
gene-PA4819	0.0	1.346711263758339	0.5810322037098906	2.085851999622878	0.4461242509573826	0.3924329508681794	0.0	0.0	host	gene-PA4819
gene-PA0407	399.20432307860415	342.9624685037903	148.744244149732	159.35909277118787	21.860088296911748	23.545977052090766	4.282008009873807	3.1152638270206143	host	gshB
gene-PA4496	129.7569261639631	88.43403965346425	162.10798483505948	121.81375677797608	14.275976030636244	7.848659017363588	3.526359537543135	1.2461055308082458	host	gene-PA4496
gene-PA1563	31.663173370153675	21.547380220133423	19.17406272242639	15.435304797209298	4.015118258616443	3.1394636069454354	0.7556484723306718	1.2461055308082458	host	gene-PA1563
gene-PA0532	13.037777270063277	10.773690110066712	8.13445085193847	9.59491919826524	0.4461242509573826	1.5697318034727177	0.25188282411022395	0.9345791481061844	host	gene-PA0532
