Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-PA2589	7.450158440036159	5.835748809619469	2.3241288148395625	4.171703999245756	0.4461242509573826	0.7848659017363588	0.0	0.0	host	gene-PA2589	0.9839989676081822	0	1
gene-PA1795	856.1473740674885	478.53140238879644	502.5928562090554	501.8559911092645	84.7636076819027	73.77739476321773	23.425102642250824	17.7570038140175	host	cysS	0.820855907506411	0	1
gene-PA2468	487.3645312856987	212.78037967381755	14.525805092747266	12.515111997737268	4.461242509573826	2.747030656077256	1.0075312964408958	1.2461055308082458	host	foxI	1.6612363132787729	0	1
gene-PA4119	8.691851513375518	6.7335563187916945	9.877547463068142	8.760578398416088	4.015118258616443	1.5697318034727177	1.5112969446613436	0.9345791481061844	host	aph	0.5530784033365829	0	1
gene-PA2246	18.625396100090395	9.426978846308373	5.229289833389016	8.760578398416088	0.4461242509573826	0.7848659017363588	0.0	0.6230527654041229	host	bkdR	1.0123627376594846	0	1
gene-PA1033	13.658623806732956	8.97807509172226	7.553418648228578	4.588874399170332	1.3383727528721479	1.5697318034727177	0.7556484723306718	0.31152638270206146	host	gene-PA1033	0.7945462611918145	0	1
gene-PA2214	1.8625396100090397	0.897807509172226	1.743096611129672	0.4171703999245756	0.0	0.7848659017363588	0.0	0.0	host	gene-PA2214	0.8860722131644512	0	1
gene-PA3210	15.521163416741997	8.080267582550034	8.13445085193847	10.429259998114391	3.1228697567016783	1.1772988526045383	0.5037656482204479	2.4922110616164916	host	trkH	0.6766836834014666	0	1
gene-PA4724	40.97587142019887	18.853957692616746	104.00476446407043	16.686815996983025	3.568994007659061	1.962164754340897	0.5037656482204479	0.6230527654041229	host	gene-PA4724	1.3017544428691132	0	1
gene-PA5368	28.558940686805276	16.60943891968618	24.403352555815406	25.44739439539911	10.2608577720198	10.595689673440845	6.045187778645374	2.803737444318553	host	pstC	0.4510107282783335	0	1
gene-PA1496	10.554391123384558	10.773690110066712	5.229289833389016	5.4232151990194835	0.0	0.3924329508681794	0.7556484723306718	1.2461055308082458	host	gene-PA1496	0.9004175892070202	0	1
gene-PA3978	32.904866443493034	23.791898993063988	20.917159333556064	24.61305359554996	6.691863764360739	5.494061312154512	2.0150625928817916	3.1152638270206143	host	gene-PA3978	0.6543697669387353	0	1
gene-PA3440	34.76740605350207	20.6495727109612	19.17406272242639	16.686815996983025	3.568994007659061	2.3545977052090765	0.7556484723306718	0.9345791481061844	host	gene-PA3440	0.8339760834842929	0	1
