Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-VC_RS03415	24.336435537829818	26.602556667906498	23.510636986303336	27.891934900223944	28.359714620243164	23.91562423915049	31.56390744340065	37.214678653364295	39.08390848666728	host	gene-VC_RS03415	0.3036560877558227	0	1
gene-VC_RS00480	86.70981847182327	85.48504490235807	87.73481607083927	68.81233939199986	84.59297732438247	73.90467340068308	57.23588549736652	84.71977981315129	75.64627449032378	host	gene-VC_RS00480	0.170100522862778	0	1
gene-VC_RS07910	116.4543507958375	117.60276575751348	111.81888322754025	117.43972589567976	163.18990070048494	124.79280618022887	139.44232888329	164.22386602715684	147.51023525613135	host	gene-VC_RS07910	0.2346880230911428	0	1
gene-VC_RS03250	205.68794776788016	178.1073611058618	223.6377664550805	223.31897877350355	224.60893979232586	215.42043487595703	133.41011546077343	193.26259255213049	180.03813328697058	host	rimP	0.141844747753358	0	1
gene-VC_RS09975	80.58064211414762	78.67219502399178	87.87817361343869	65.32584752947187	87.50997654246463	76.78174097832525	57.656737596611855	69.21366370758284	63.03856207526981	host	sixA	0.1500164071708815	0	1
gene-VC_RS12430	400.5597019633915	301.54971247340353	355.2399905613394	1457.5370981084131	263.82637372431924	257.31773147537103	101.98649205045456	152.9466906776525	129.98551499920634	host	rpmD	0.9162413641340802	0	1
gene-VC_RS13170	185.49771976612504	172.26777549583355	179.48364333446204	147.7171552281597	155.08712509470118	174.06258844735092	99.60166348806428	139.1321508745097	117.37780258415239	host	gspC	0.1495694583816387	0	1
gene-VC_RS14405	296.3637038829053	188.81326805758027	204.8579283745577	204.4185228871676	152.81834792508172	171.36533759331138	115.87461132555084	119.67902339661472	131.1202091165612	host	prtV	0.232482050093661	0	1
gene-VC_RS02085	70.30525822039725	66.34418095837657	77.84314563147994	59.27036166297588	64.82220484627008	60.238602406882805	58.35815776202076	81.4775919001688	69.46849540694733	host	gene-VC_RS02085	0.2044764967262168	0	1
gene-VC_RS09225	82.38334104287576	69.42618447478037	81.14036911126638	109.36574474035177	90.10286473631542	71.20742254664356	50.7828199756046	80.77276844082478	68.20772416544193	host	gene-VC_RS09225	0.164951019019123	0	1
gene-VC_RS12905	334.76119106481457	360.4322007078551	420.037599816273	456.9139335628791	394.28106097743785	435.87573801278785	385.36023887565153	290.5282299416054	345.7034744207796	host	rpmE	0.1341181023659796	0	1
gene-VC_RS08645	10.275383893750368	13.139067622563575	10.465100609756972	14.129467021823972	16.3676067236832	16.902772018647713	12.064426845033138	15.506116105568458	16.263949015419612	host	gene-VC_RS08645	0.2258926134179349	0	1
gene-VC_RS07145	68.50255929166912	48.987634839681476	63.50739137153889	86.06129913292783	94.47836356343866	84.51386009323856	96.65569879334689	99.94396653498214	99.85308232722738	host	gene-VC_RS07145	0.2893508248804419	0	1
gene-VC_RS07395	41.10153557500147	49.14984555107115	52.46886059138427	54.31587322675189	56.557373728370656	54.124833804393205	57.23588549736652	56.10394736378405	57.617245736796605	host	gene-VC_RS07395	0.1921306849204045	0	1
gene-VC_RS18495	80.94118189989324	80.61872356066786	93.32576023221628	47.1593899299839	45.86170992873609	45.853264518671985	15.290959605914093	15.506116105568458	10.968709801096947	host	gene-VC_RS18495	0.6154170250910271	0	1
gene-VC_RS08210	64.17608186272159	50.93416337635756	47.30798905780549	35.598916912127926	43.268821734885286	43.875280559043	9.118462150315745	13.25068103566759	9.203630062989392	host	gene-VC_RS08210	0.4999428933885673	0	1
gene-VC_RS05610	591.2852486228281	586.8783538078396	625.0388857334301	491.228353473023	492.1625902953057	428.5032523450798	285.3377232883419	344.5177069273574	320.2358953423706	host	clpA	0.2333046002743123	0	1
gene-VC_RS11530	1096.762028238197	1152.1826830008529	1003.9328708236723	878.7794489287662	847.3882728528657	710.6356916776144	373.01524396445484	415.56391162923467	1597.1450087390358	host	secA	0.4893427100482342	0	1
gene-VC_RS12705	40.560725896383026	40.552677847418444	50.03178236719429	37.066913485823925	40.35182251680313	34.34499420810333	26.513682252456547	29.88451467618648	30.384586920280046	host	pilM	0.197287568718269	0	1
gene-VC_RS13845	76.61470447094572	66.50639166976624	63.93746399933712	82.57480727039983	79.40720093668087	83.97440992243065	65.79321151535514	75.97996891728543	65.5601045582806	host	gene-VC_RS13845	0.0849437580497869	0	1
gene-VC_RS02005	16.945369930044464	18.00538896425379	25.23092749749626	18.349957171199964	13.93677404194807	16.54313857144244	12.204710878114918	13.814539803142807	14.624946401462596	host	gene-VC_RS02005	0.2464989224114377	0	1
gene-VC_RS18725	11.357003250987248	9.246010549211405	11.325245865353436	12.661470448127975	18.960494917534	10.069736521747574	3.086248727799175	11.981998808848353	9.203630062989392	host	gene-VC_RS18725	0.3494994637233994	0	1
gene-VC_RS08005	90.31521632927954	95.54210900851785	95.61948091380685	97.4382725790718	103.3914167298008	88.11019456529127	135.0935238577548	136.31285703713363	127.33789539204501	host	mgtE	0.2854401233246417	0	1
gene-VC_RS16325	124.92703576085972	115.16960508666837	118.70004527231195	170.10410297702364	192.35989288130648	154.6423822982663	300.48839886117423	386.9480791798674	339.6517724615537	host	gene-VC_RS16325	0.5696289622471115	0	1
gene-VC_RS11655	285.3672404176637	279.3268450130182	289.7255935934088	338.9237089520633	399.7909483893708	547.5419233700243	363.0550776156484	333.66342565345946	408.48988224774837	host	fldB	0.2352801723041185	0	1
gene-VC_RS10090	295.8228942042869	287.5995912938916	324.9915490728638	256.16540210995146	300.2888639503462	279.79482192570043	196.8184984137383	271.6389612311856	231.9819084369929	host	pgm	0.1499192450966058	0	1
gene-VC_RS05895	14.962401108443517	14.436753313680965	15.912687228534574	9.54197772902398	13.612663017716718	8.990836180131762	7.575337786416156	9.867528430816291	7.8167816973334565	host	hutG	0.2663411178347659	0	1
gene-VC_RS11545	1132.455467027014	1134.8261368821577	1114.174821082619	1039.5250737484778	2562.4217575730568	1016.3241218020944	1032.7710515480694	861.8581260858685	732.3820141904846	host	ftsZ	0.4038594691347969	0	1
gene-VC_RS07100	10.45565378662318	10.705906951718468	12.47210620614872	13.395468734975973	11.18183033598159	10.249553245350208	14.30897137434163	13.673575111274003	16.51610326372069	host	gene-VC_RS07100	0.2796285232767731	0	1
gene-VC_RS03725	566.9488130849983	611.6965926504598	581.3148352406099	419.29652136191913	325.40746832827585	326.0077198915777	205.23554039864513	185.22760511560867	183.06398426658353	host	secD	0.4136807740728808	0	1
gene-VC_RS14690	29.023452752522967	30.98224587542769	33.25894988306325	39.45240791807992	41.48621110161286	28.411042329216368	38.297541031326126	41.584584101297224	40.21860260402214	host	gene-VC_RS14690	0.2315255528719304	0	1
gene-VC_RS17030	128.17189383257036	144.85416527097868	133.1791570748524	111.93473874431977	138.39540734678664	114.90288638208392	187.9806043295861	169.5805243181714	176.25581956245438	host	gene-VC_RS17030	0.2924484227368675	0	1
gene-VC_RS17425	5.22782689331159	6.1640070328076035	4.587441363181139	4.403989721087991	4.05138780289188	4.675234813668516	3.086248727799175	4.228940756064125	5.421316338473203	host	gene-VC_RS17425	0.2170825475190547	0	1
gene-VC_RS04610	40.38045600351021	34.713092237390185	42.57719015202494	41.10390406348792	33.05932447159775	34.165177484500695	39.84066539522571	41.584584101297224	39.966448355721056	host	gene-VC_RS04610	0.1801683933664238	0	1
gene-VC_RS18505	55.16258721908092	41.85036353853583	47.594704143004314	35.41541734041593	33.70754652006045	28.0514088820111	7.855905852579718	13.955504495011612	10.338324180344248	host	gene-VC_RS18505	0.4944657128300456	0	1
gene-VC_RS10875	114.65165186710936	131.87730835980477	111.53216814234143	119.45822118451176	208.079277556527	108.24966760878641	159.36266158090285	92.04994379032911	86.8671385397218	host	gene-VC_RS10875	0.283947290022362	0	1
