Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-NWMN_RS01500	76	36	72	23.40572542519065	17.890336851958615	28.74231469699068	25.148177302527724	13.550707327564345	25.47830204102431	13.50021797912932	15.104103142899543	19.015745036890543	8.287996538234708	15.229212610824924	15.674970772710747	13.553158333145849	5.286797431824859	14.904700797219729	15.694648719280995	10.24524931448305	10.141129022035152	host	gene-NWMN_RS01500	0.416140693663906	0	1
gene-NWMN_RS09200	271	270	494	118.31113262870343	136.48595695123268	132.51326905755442	110.59138211352553	126.98948581260301	111.46757142948137	90.87951615218763	109.88235036459417	98.36991182545302	70.22986540293621	80.35839845711874	53.991565994892575	37.94884333280837	53.62323109422357	50.53057099545225	27.346736404807793	43.9082113477845	38.53629028373358	host	gene-NWMN_RS09200	0.459199466626238	0	1
gene-NWMN_RS12215	50	33	144	27.894494684816255	31.7409202212169	49.272539480555444	31.51096915015522	26.71425158862685	35.740395918659104	21.732058210305738	31.718616600089042	24.501056105224354	18.320834452939884	23.005831816352543	18.722881756293393	13.824221499808765	16.99327745943705	17.449405811379194	12.841076224866267	14.270168688029964	19.26814514186679	host	alsS	0.4443491536553084	0	1
gene-NWMN_RS11770	690	552	481	155.1831658327709	147.73955593875502	146.69778799892646	164.22062768638585	154.0909004677317	156.0546000012739	123.80687707689329	113.28077357174658	91.78753854345244	89.85933088822895	148.0797907052551	53.556150140095056	51.230938499291305	64.95208273384827	43.25998524071092	34.24286993297672	48.29903248256295	25.35282255508788	host	gene-NWMN_RS11770	0.5265872151278174	0	1
gene-NWMN_RS15260	2	4	5	2.8856373811878884	2.019876741350166	1.1198304427398966	1.5149504399113087	1.9358153325091922	0.7077306122506754	0.9878208277411699	1.5104103142899543	1.0970622136667623	1.744841376470465	1.9441548013819052	0.43541585479752076	0.8131894999887509	0.0	1.0905878632111996	0.4755954157357877	0.3659017612315375	0.5070564511017576	host	gene-NWMN_RS15260	0.6126213636985725	0	1
gene-CPT_phageK_gp066	1	1	3	0.0	2.019876741350166	2.2396608854797933	35.75283038190688	7.35609826353493	144.02317959301243	287.12658726343335	54.374771314438355	638.8558957586112	663.9121437470119	575.4698212090439	784.1839544903349	449.69379349377925	711.451882968431	510.03159069510434	223.29204768795233	303.6984618221761	362.5453625377567	phage	gene-CPT_phageK_gp066	0.9634641986669124	0	0
gene-CPT_phageK_gp079	0	0	0	0.0	2.019876741350166	2.6129376997264253	36.66180064585367	9.291913596044122	194.2720530628104	259.46760408668064	49.088335214423516	597.8989064483854	421.3791924176173	362.90889625795563	408.855487654872	208.98970149710897	280.95552066269255	299.9116623830799	108.43575478775959	118.91807240024968	219.0483868759593	phage	gene-CPT_phageK_gp079	0.9787580460787306	0	0
gene-NWMN_RS03275	186	158	336	83.36285767876122	77.90953145207784	84.36056001973887	74.23257155565412	87.11168996291364	80.32742449045165	64.53762741242309	84.58297760023744	57.047235110671636	30.970934432350756	67.07334064767572	36.57493180299174	26.293127166302945	34.364183306861584	28.35528444349119	26.157747865468323	26.3449268086707	24.845766103986122	host	gene-NWMN_RS03275	0.4654323201778002	0	1
gene-NWMN_RS00860	3792	977	2637	715.6380705345963	459.66623556725926	585.2980447387192	1159.8460567960979	623.7197001344617	728.6086653120702	579.8508258840667	540.3492899372311	221.24087975613037	363.36321664997433	611.4366850346091	149.34763819554962	213.59777533037857	222.80074891261907	133.7787778872405	197.84769294608768	264.54697337040164	94.81955635602867	host	gene-NWMN_RS00860	0.6897526250846703	0	1
gene-NWMN_RS06375	491	247	912	225.0797157326553	206.89308907829562	235.5376697896249	223.3036948429269	264.43237442075565	224.7044693895894	129.73380204334032	218.6318929934709	138.22983892201202	86.36964813528802	89.75514666379796	75.32694287997109	64.24197049911132	61.55342724196086	66.16233036814612	60.63841550631293	73.1803522463075	59.832661230007396	host	gene-NWMN_RS06375	0.560237352772158	0	1
