Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b0378	1329	1319	845	1007	784	1017	677	689	343	362	371	430	host	yaiW
gene-b3128	132	155	81	109	61	106	82	79	50	67	40	136	host	garD
gene-b3532	356	352	222	245	223	274	177	158	95	88	95	230	host	bcsB
gene-b0048	2898	2687	2299	2794	2616	3219	2540	2668	812	954	585	682	host	folA
gene-b3636	27774	28716	30977	36238	32205	40622	29255	33955	7819	9158	6019	6324	host	rpmG
gene-b3228	5448	4745	4745	4636	4779	6172	3311	3699	1760	1895	1283	2194	host	sspB
gene-b4771	53	60	50	88	41	62	70	75	16	16	21	29	host	ychT
gene-b1695	36	31	23	33	20	32	26	17	22	6	11	35	host	ydiO
gene-b2871	66	79	51	60	52	60	63	41	40	21	23	77	host	ygeX
gene-b2611	397	378	303	407	232	303	270	302	104	121	112	141	host	ypjD
gene-b0467	969	1028	569	613	512	630	468	515	339	383	318	366	host	priC
gene-b0693	92	100	64	113	72	89	108	117	50	28	47	84	host	speF
gene-b0116	71996	57313	49508	38572	61954	56584	56190	49201	31089	31523	18604	24767	host	lpd
gene-b1715	419	453	447	522	349	378	374	414	90	130	92	119	host	pheM
gene-b3091	324	318	220	210	205	256	158	179	124	140	97	159	host	uxaA
gene-b3266	392	443	284	375	266	302	311	276	422	176	171	337	host	acrF
gene-b1845	1280	1504	944	1012	672	843	490	557	288	325	348	469	host	ptrB
gene-b1838	199	222	373	476	208	365	140	130	62	76	69	95	host	pphA
gene-b1176	4887	5864	2913	3449	2607	3319	2092	2514	1240	1577	1297	1623	host	minC
gene-b4434	2789	3359	4444	7922	2914	3241	7378	5632	866	1094	986	822	host	azuR
gene-b1480	2504	3208	2223	4981	1172	1595	1339	1518	500	556	950	1339	host	sra
gene-b0537	1424	1617	1215	2040	1011	1460	1541	1526	416	563	502	576	host	intD
gene-b0989	20	28	30	51	27	37	53	38	7	14	11	9	host	cspH
gene-b1009	48	68	25	55	21	31	19	22	17	14	9	44	host	rutD
gene-b2632	103	126	71	103	69	97	58	70	33	32	36	78	host	yfjP
gene-b3706	4269	4362	3592	3767	5423	6490	2038	2203	923	1021	846	1177	host	mnmE
gene-b2938	32277	31032	21176	18997	22445	27343	13602	15005	11663	12998	9816	11803	host	speA
gene-b1379	2055	2721	1644	2201	1173	1844	1139	1382	584	777	703	768	host	hslJ
gene-b0590	720	132	605	141	132	25	74	41	47	31	32	63	host	fepD
gene-b1907	331	353	307	396	248	361	266	281	134	144	205	216	host	tyrP
gene-b4144	6930	7398	3353	4313	2735	3590	2552	2682	1755	2064	1891	1932	host	yjeI
gene-b4154	2798	3103	1750	2227	1674	2398	912	1114	684	858	880	1512	host	frdA
gene-b1895	443	592	283	454	166	194	171	182	123	131	192	267	host	uspC
gene-b2896	2042	1884	1452	1548	1430	1582	1211	1246	697	742	549	781	host	ygfX
gene-b1171	374	331	252	283	224	297	310	271	141	124	119	104	host	ymgD
gene-b1553	12	19	20	24	16	22	10	12	5	3	5	23	host	rzpQ
gene-b3780	3606	3529	2675	2282	2033	2744	1666	1687	721	881	863	1268	host	rhlB
gene-b0650	154	148	110	141	128	139	119	134	44	62	49	94	host	hscC
gene-b0966	2695	2911	2001	2526	2012	2366	1854	2041	977	1034	888	1056	host	hspQ
gene-b1557	441	507	1408	2102	1006	1412	1081	1205	127	151	173	126	host	cspB
gene-b4840	12058	11595	8412	9348	7457	10292	6077	6849	3270	3780	3403	3572	host	stfZ
gene-b1227	93	96	44	72	90	94	41	44	35	36	26	51	host	narI
gene-b2075	723	937	462	637	546	687	384	470	206	256	190	319	host	mdtB
gene-b0589	1187	211	1077	306	376	60	115	627	59	51	47	88	host	fepG
gene-b2365	103	125	72	124	56	67	63	96	34	47	41	101	host	dsdX
gene-b2704	25	14	14	16	14	21	11	13	7	4	6	21	host	srlB
gene-b0931	1376	1364	1303	1844	978	1209	1262	1166	381	443	314	713	host	pncB
gene-b0063	81	88	43	50	40	54	60	52	45	29	39	105	host	araB
gene-b1127	4421	5072	2632	2926	1947	2702	1140	1274	762	914	1266	1295	host	pepT
gene-b3056	2615	2811	1793	2067	1575	1880	1337	1325	685	902	777	1146	host	cca
gene-b2158	148	176	156	251	156	177	199	181	51	62	51	117	host	yeiH
gene-b4721	26	28	10	26	5	5	28	44	20	28	27	10	host	ytiD
gene-b0655	9710	13597	5989	8204	3066	5062	2320	2975	1920	2551	3223	4281	host	gltI
gene-b3459	450	457	342	377	376	391	196	226	140	140	157	188	host	panZ
gene-b3564	1025	1184	564	689	454	579	258	334	233	248	316	461	host	xylB
gene-b2982	356	422	245	314	243	246	222	245	149	192	79	225	host	insH9
gene-b2260	3448	3279	2319	2395	2969	3491	2262	2343	836	909	669	794	host	menE
gene-b3125	401	394	207	198	194	225	130	121	78	117	111	155	host	garR
gene-b3497	945	1012	693	739	703	941	377	308	170	190	218	392	host	rsmJ
gene-b1651	1828	2080	1298	1832	1184	1382	1097	1164	430	547	427	626	host	gloA
gene-b2419	98	103	75	92	66	92	74	86	33	35	40	55	host	yfeK
gene-b4837	1914	3140	1288	1997	2046	1290	933	962	703	845	5742	854	host	spfP
gene-b0318	126	142	77	103	56	61	57	58	24	38	47	89	host	yahD
gene-b0254	67	75	62	77	46	75	65	59	43	28	28	70	host	perR
gene-b0713	1854	1909	1130	1028	690	799	469	443	348	466	477	730	host	pxpA
gene-b2164	118	142	91	121	73	112	90	74	54	46	45	87	host	psuT
gene-b2643	38	37	17	31	23	23	26	19	15	16	11	47	host	lfgA
gene-b3202	8217	8874	5324	5653	5076	6051	3270	3768	2120	2618	2346	3117	host	rpoN
gene-b2085	64	65	42	77	44	55	62	57	17	21	21	27	host	yegR
gene-b1095	57830	52655	43079	37644	47359	54391	37367	43226	20167	23128	13283	15626	host	fabF
gene-b2625	79	52	55	68	42	55	59	67	25	23	23	57	host	yfjI
gene-b0250	212	295	161	221	126	134	132	132	80	102	96	141	host	ykfB
gene-b0053	11825	11517	9732	9284	9085	11199	5277	5938	2685	3188	2727	3657	host	surA
gene-b3364	1633	1257	520	643	444	347	1172	1082	450	431	260	630	host	tsgA
gene-b0369	1157	1058	864	894	735	855	605	610	331	411	299	600	host	hemB
gene-b0470	5355	5306	4763	4358	5233	5970	2702	2982	1216	1323	1016	1555	host	dnaX
gene-b2392	1893	1593	1323	1499	822	844	675	681	304	352	558	707	host	mntH
gene-b3733	35544	29162	27918	18565	27604	31634	19421	18287	9339	11162	6598	11058	host	atpG
gene-b1365	49	46	39	48	40	49	51	39	14	27	14	24	host	ynaK
gene-b4168	1726	1738	1242	1307	1167	1357	787	824	427	495	491	572	host	tsaE
gene-b0489	480	532	330	400	358	323	306	325	211	235	201	308	host	qmcA
gene-b2535	271	266	175	231	188	201	161	161	84	83	87	133	host	csiE
gene-b4239	60	74	32	73	44	57	60	70	36	29	23	75	host	treC
gene-b3720	63	62	33	61	33	37	60	59	44	26	25	67	host	bglH
gene-b1743	232	287	183	244	177	240	174	205	91	99	88	141	host	spy
gene-b1988	477	1151	225	669	83	227	128	163	59	76	125	233	host	nac
gene-b0774	3169	4105	2303	2755	2731	3359	2149	2283	1222	1446	903	1254	host	bioA
gene-b2413	880	980	641	963	752	857	528	629	293	356	226	362	host	cysZ
gene-b4806	29	23	33	48	44	22	26	16	7	4	3	20	host	C0293
gene-b3775	1610	1717	1262	1939	1353	1456	1276	1403	495	568	383	534	host	ppiC
gene-b4019	12058	13584	7036	7638	5571	6485	3493	3585	2630	3251	3316	3988	host	metH
gene-b0952	1697	1642	1263	1403	1298	1791	1359	1367	479	511	494	396	host	pqiC
gene-b2417	24527	24747	18732	19516	14600	19769	11134	13197	5884	6942	6800	7227	host	crr
gene-T7p36	24	10	20	8	4	33	37777	47139	91232	113498	44043	64917	phage	gene-T7p36
gene-b2830	2799	2525	1730	2038	1765	2047	1773	1856	772	916	747	1003	host	rppH
gene-b3783	6878	5965	5991	5837	5279	6545	4666	4662	1190	1382	1125	1893	host	rho
gene-b0932	12055	12268	7697	7099	6507	8491	3659	4244	2461	3147	2844	5206	host	pepN
gene-b2032	888	852	1130	1478	830	1146	1341	1288	286	269	168	270	host	wbbK
gene-b2287	7678	7854	5697	5888	4815	6700	3644	4047	2086	2471	1823	2699	host	nuoB
gene-b2599	613	577	570	625	465	528	360	363	113	158	135	305	host	pheA
gene-b4082	68	76	30	59	23	38	49	45	39	27	18	82	host	mdtN
gene-b2718	152	148	75	122	72	81	81	95	52	56	51	41	host	hycH
gene-b4029	372	401	300	360	221	300	205	173	146	134	164	302	host	yjbH
gene-b2816	2456	2525	4956	4164	4392	3269	3583	2718	973	1205	1195	2125	host	metV
gene-b3273	243	192	322	250	489	187	294	262	126	125	443	263	host	thrV
gene-b2205	207	182	121	103	153	194	87	93	68	64	55	69	host	napG
gene-b0801	5150	5554	2867	3324	2745	3653	1603	1914	1023	1223	1391	1625	host	hcxB
gene-b2668	258	301	158	210	198	207	159	139	66	77	84	116	host	ygaP
gene-b3539	1124	1523	957	1447	1239	1735	570	647	198	211	268	398	host	yhjV
gene-b1424	2510	2796	1810	2024	1678	2071	1240	1358	616	794	508	821	host	opgD
gene-b1893	56	50	70	87	54	65	42	45	25	26	14	36	host	insB5
gene-b2910	4471	4651	5809	7137	4242	6129	3745	3939	1456	1735	1763	1744	host	zapA
gene-b4058	5029	5363	3662	3386	3588	3908	2342	2611	1642	1919	1226	2368	host	uvrA
gene-b1615	48	43	19	41	30	37	24	23	21	17	26	38	host	uidC
gene-b3211	56	74	36	61	30	42	42	25	20	18	17	77	host	yhcC
gene-b2262	7740	7312	4744	4441	5379	6644	3601	4069	2161	2270	1555	1808	host	menB
gene-b2642	264	262	126	281	91	116	213	233	62	54	73	82	host	yfjW
gene-b2728	71	81	45	41	48	69	30	56	21	30	16	40	host	hypC
gene-b4453	298	274	237	345	196	210	330	324	166	160	118	197	host	ldrD
gene-b4178	1901	2109	1832	2418	1770	2190	1706	1751	519	658	618	603	host	nsrR
gene-b0888	14021	14327	8960	9458	9778	11640	7106	7796	4266	4713	3475	3342	host	trxB
gene-b1312	39	37	19	41	32	16	21	24	17	19	13	27	host	ycjP
gene-b3293	303	271	242	314	238	306	301	274	108	131	115	212	host	yhdN
gene-b3749	375	570	278	473	376	723	2079	4768	332	460	233	536	host	rbsA
gene-b0440	13284	12236	10182	13908	8822	10681	11668	11133	4467	4882	4210	5832	host	hupB
gene-b1194	356	355	326	410	280	310	245	296	91	114	76	96	host	ycgR
gene-b0601	104	102	38	92	32	79	67	61	33	47	29	61	host	ybdM
gene-b1129	2085	2178	1579	2041	1479	1890	2006	2142	769	1001	692	1065	host	phoQ
gene-b0786	986	1176	857	1109	588	776	649	733	275	393	342	587	host	ybhL
gene-b4539	47	42	55	69	36	35	46	38	13	9	7	30	host	yoeB
gene-b2180	1819	2091	1878	2372	1743	2150	1315	1468	595	662	508	656	host	yejF
gene-b2867	66	89	29	54	29	40	41	45	34	31	30	83	host	xdhB
gene-b3510	17196	19022	13716	18153	10016	13804	7919	7659	3413	3708	5289	6273	host	hdeA
